FISCAL_YEAR,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,FAC_SCHTYPE,GRADE_RANGE,SCHOOL_ADDRESS,SCHOOL_CITY,STATE,SCHOOL_ZIP,MAIL_ADDRESS,MAIL_CITY,MAIL_ZIP,PRINCIPAL_FNAME,PRINCIPAL_LNAME,PRINCIPAL_MNAME,EMAIL_ADDRESS,SCHOOL_PHONE,SCHOOL_FAX
2012,633,Cobb County,0402,Austell Intermediate School,E,02-05,5243 Meadows Rd ,Powder Springs,GA,30127-3520,5243 Meadows Rd ,Powder Springs,30127-3520,Patrick,O'Connell,,Patrick.OConnell@cobbk12.org,770.819.2387,770.819.2389
2012,633,Cobb County,0404,Kennesaw Elem School,E,PK-02,3155 Jiles Rd NW,Kennesaw,GA,30144-1103,3155 Jiles Rd NW,Kennesaw,30144-1103,Wanda,Floyd,,Wanda.Floyd@cobbk12.org,678.594.8172,678.594.8174
2012,633,Cobb County,0407,Barber Middle School,M,06-08,4222 Cantrell Rd NW ,Acworth,GA,30101-3707,4222 Cantrell Rd NW ,Acworth,30101-3707,Lisa,Williams,,Lisa.Williams@cobbk12.org,770.975.6764,770.529.0325
2012,633,Cobb County,0475,Tapp Middle School,M,06-08,3900 Macedonia Rd ,Powder Springs,GA,30127-3626,3900 Macedonia Rd ,Powder Springs,30127-3626,Jerry,Dority,,Jerry.Dority@cobbk12.org,770.222.3758,770.222.3760
2012,633,Cobb County,0478,Sope Creek Elementary School,E,PK-05,3320 Paper Mill Rd SE ,Marietta,GA,30067-4956,3320 Paper Mill Rd SE ,Marietta,30067-4956,Martha,Whalen,,Martha.Whalen@cobbk12.org,770.916.7085,770.916.7087
2012,633,Cobb County,0489,Powder Springs Elementary School,E,PK-05,4570 Grady Grier Dr ,Powder Springs,GA,30127-2555,4570 Grady Grier Dr ,Powder Springs,30127-2555,Darlene ,Mitchell,Hunt,Darlene.Mitchell@cobbk12.org,770.222.3745,770.222.3748
2012,633,Cobb County,0491,Timber Ridge Elementary School,E,PK-05,5000 Timber Ridge Rd,Marietta,GA,30068-1529,5000 Timber Ridge Rd,Marietta,30068-1529,Tracie,Doe,,Tracie.Doe@cobbk12.org,770.642.5621,770.642.5623
2012,633,Cobb County,0499,Lost Mountain Middle School,M,06-08,700 Old Mountain Rd NW ,Kennesaw,GA,30152-3841,700 Old Mountain Rd NW ,Kennesaw,30152-3841,Robert,Downs,,Robert.Downs@cobbk12.org,678.594.8224,770.594.8226
2012,633,Cobb County,0502,Cooper Middle School,M,06-08,4605 Ewing Rd ,Austell,GA,30106-1631,4605 Ewing Rd ,Austell,30106-1631,Vanessa,Watkins,,Vannessa.Watkins@cobbk12.org,770.819.2438,770.819.2440
2012,633,Cobb County,0504,Big Shanty Elementary School,E,03-05,1575 Ben King Rd NW ,Kennesaw,GA,30144-2947,1575 Ben King Rd NW ,Kennesaw,30144-2947,Lynne,Hutnik,,Lynne.Hutnik@cobbk12.org,678.594.8023,678.594.8026
2012,633,Cobb County,0507,McClure Middle School,M,06-08,3660 Old Stilesboro Rd NW ,Kennesaw,GA,30152-3150,3660 Old Stilesboro Rd NW ,Kennesaw,30152-3150,Susan,Wing,,Susan.Wing@cobbk12.org,678.331.8131,..
2012,633,Cobb County,0592,Bryant Elementary School,E,PK-05,6800 Factory Shoals Rd SW,Mableton,GA,30126-5040,6800 Factory Shoals Rd SW,Mableton,30126-5040,Alfreda,Williams,,Freda.Williams@cobbk12.org,770.819.2402,7708192404
2012,633,Cobb County,0602,Palmer Middle School,M,06-08,690 N Booth Rd NW,Kennesaw,GA,30144-2106,690 N Booth Rd NW,Kennesaw,30144-2106,Cathy,Wentworth,,Cathy.Wentworth@cobbk12.org,770.591.5020,770.591.5032
2012,633,Cobb County,0607,Lovinggood Middle School,M,06-08,3825 Luther Ward Rd ,Powder Springs,GA,30127-1181,3825 Luther Ward Rd ,Powder Springs,30127-1181,Elizabeth,Wilson,,Elizabeth.Wilson@cobbk12.org,678.331.3015,..
2012,633,Cobb County,0707,Hillgrove High School,H,09-12,4165 Luther Ward Rd ,Powder Springs,GA,30127-1185,4165 Luther Ward Rd ,Powder Springs,30127-1185,Robert,Shaw,,Robert.Shaw@cobbk12.org,678.331.3961,..
2012,633,Cobb County,0807,Devereux Ackerman Academy,H,02-12,1291 Stanley Rd NW ,Kennesaw,GA,30152-4359,1291 Stanley Rd NW ,Kennesaw,30152-4359,Christina,Christiansen,,cchristi@devereux.org,770.427.0147,
2012,633,Cobb County,1052,Belmont Hills Elementary School,E,PK-05,605 Glendale Pl SE,Smyrna,GA,30080-1835,605 Glendale Pl SE,Smyrna,30080-1835,Terry,Floyd,,Terry.Floyd@cobbk12.org,678.842.6810,678.842.6812
2012,633,Cobb County,1054,Campbell High School,H,09-12,5265 Ward St SE,Smyrna,GA,30080-1944,5265 Ward St SE,Smyrna,30080-1944,Denise,Magee,,denise.magee@cobbk12.org,678.842.6850,678.842.6852
2012,633,Cobb County,1056,East Cobb Middle School,M,06-08,380 Holt Rd NE ,Marietta,GA,30068-3564,380 Holt Rd NE ,Marietta,30068-3564,Tiffany,Honore',,Tiffany.Honore@cobbk12.org,770.578.2740,770.578.2742
2012,633,Cobb County,1060,Garrett Middle School,M,06-08,5235 Austell Powder Springs Rd ,Austell,GA,30106-3128,5235 Austell Powder Springs Rd ,Austell,30106-3128,Fredrick,Harris,B,Frederick.Harris@cobbk12.org,770.819.2466,770.819.2468
2012,633,Cobb County,1064,McEachern High School,H,09-12,2400 New MacLand Rd,Powder Springs,GA,30127-1765,2400 New MacLand Rd ,Powder Springs,30127-1765,Regina,Montgomery,,Regina.Montgomery@cobbk12.org,770.222.3710,770.222.3712
2012,633,Cobb County,1066,Norton Park Elementary School,E,PK-05,3041 Gray Rd SE ,Smyrna,GA,30082-1927,3041 Gray Rd SE ,Smyrna,30082-1927,Doug,Daugherty,,Doug.Daugherty@cobbk12.org,678.842.5833,678.842.5835
2012,633,Cobb County,1067,Powers Ferry Elementary School,E,PK-05,403 Powers Ferry Rd SE,Marietta,GA,30067-7315,403 Powers Ferry Rd SE,Marietta,30067-7315,Rattana,Inthirathvongsy,,rattana.inthirathvongsy@cobbk12.org,770.578.7936,770.578.7938
2012,633,Cobb County,1068,Sky View Elementary School,E,PK-05,5805 Dunn Rd SW,Mableton,GA,30126-4009,5805 Dunn Rd SW,Mableton,30126-4009,Cynthia,Cutler,,Cynthia.Cutler@cobbk12.org,770.819.2584,770.819.2586
2012,633,Cobb County,1069,Wheeler High School,H,09-12,375 Holt Rd NE,Marietta,GA,30068-3560,375 Holt Rd NE,Marietta,30068-3560,David,Chiprany,,David.Chiprany@cobbk12.org,770.578.3266,770.578.3268
2012,633,Cobb County,2050,Argyle Elementary School,E,PK-05,2420 Spring Rd SE,Smyrna,GA,30080-3828,2420 Spring Rd SE,Smyrna,30080-3828,Robert,Babay,,Judy.Hansard@cobbk12.org,678.842.6800,678.842.6802
2012,633,Cobb County,2054,Clarkdale Elementary School,E,KK-05,4455 Wesley Dr,Austell,GA,30106-1647,4455 Wesley Dr,Austell,30106-1647,Margie,Bickerstaff,,Marjorie.Bickerstaff@cobbk12.org,770.819.2422,770.819.2424
2012,633,Cobb County,2056,North Cobb High School,H,09-12,3400 Old 41 Hwy NW,Kennesaw,GA,30144-1072,3400 Old 41 Hwy NW,Kennesaw,30144-1072,Phillip,Page,,Phillip.Page@cobbk12.org,770.975.6685,770.975.6687
2012,633,Cobb County,2062,King Springs Elementary School,E,PK-05,1041 Reed Rd SE ,Smyrna,GA,30082-4230,1041 Reed Rd SE ,Smyrna,30082-4230,Linda,Keeney,,Linda.Keeney@cobbk12.org,678.842.6944,678.842.6946
2012,633,Cobb County,2066,Osborne High School,H,09-12,2451 Favor Rd SW,Marietta,GA,30060-7338,2451 Favor Rd SW,Marietta,30060-7338,Joshua,Morreale,,joshua.morreale@cobbk12.org,770.437.5900,770.437.5902
2012,633,Cobb County,2560,Griffin Middle School,M,06-08,4010 King Springs Rd SE ,Smyrna,GA,30082-4204,4010 King Springs Rd SE ,Smyrna,30082-4204,James,Snell,,James.Snell@cobbk12.org,678.842.6917,678.842.6919
2012,633,Cobb County,3054,Clay Elementary School,E,PK-05,730 Boggs Rd SW ,Mableton,GA,30126-4206,730 Boggs Rd SW ,Mableton,30126-4206,Florence ,Williams,,Florence.Williams@cobbk12.org,770.819.2430,770.819.2432
2012,633,Cobb County,3056,South Cobb High School,H,09-12,1920 Clay Rd ,Austell,GA,30106-2202,1920 Clay Rd ,Austell,30106-2202,Ashley,Hosey,,Ashley.Hosey@cobbk12.org,770.819.2611,770.819.2613
2012,633,Cobb County,3058,Fair Oaks Elementary School,E,PK-05,407 Barber Rd SE ,Marietta,GA,30060-3946,407 Barber Rd SE ,Marietta,30060-3946,Cindy,Szwec,,Cindy.Szwec@cobbk12.org,678.594.8080,678.594.8082
2012,633,Cobb County,3060,Harmony-Leland Elementary School,E,PK-05,5891 Dodgen Rd SW,Mableton,GA,30126-3514,5891 Dodgen Rd SW,Mableton,30126-3514,Hermia,Simmons-Deveaux,Charnelle,Hermia.Simmons-Deveaux@cobbk12.org,770.819.2483,770.819.2485
2012,633,Cobb County,3062,LaBelle Elementary School,E,PK-05,230 Cresson Dr SW,Marietta,GA,30060-5536,230 Cresson Dr SW,Marietta,30060-5536,Lisa,Hogan,,Lisa.Hogan@cobbk12.org,678.842.6955,678.842.6957
2012,633,Cobb County,3064,Milford Elementary School,E,PK-05,2390 Austell Rd SW,Marietta,GA,30008-4579,2390 Austell Rd SW,Marietta,30008-4579,Michelle,Pearce,,Michelle.Pearce@cobbk12.org,678.842.6966,678.842.6968
2012,633,Cobb County,3067,Russell Elementary School,E,PK-05,3920 S Hurt Rd SW,Smyrna,GA,30082-3521,3920 S Hurt Rd SW,Smyrna,30082-3521,Nancy,DiPetrillo,,Nancy.DiPetrillo@cobbk12.org,770.437.5937,770.437.5939
2012,633,Cobb County,3556,Compton Elementary School,E,KK-05,3450 New MacLand Rd,Powder Springs,GA,30127-1927,3450 New MacLand Rd,Powder Springs,30127-1927,Liz,Murphy,,Murphy.Liz@cobbk12.org,770.222.3700,770.222.3702
2012,633,Cobb County,4050,Awtrey Middle School,M,06-08,3601 Nowlin Rd NW ,Kennesaw,GA,30144-1032,3601 Nowlin Rd NW ,Kennesaw,30144-1032,Jeffrey,Crawford,,Jeffrey.Crawford@cobbk12.org,770.975.6615,770.975.6617
2012,633,Cobb County,4052,Brown Elementary School,E,PK-05,3265 Brown Rd SE,Smyrna,GA,30080-4109,3265 Brown Rd SE,Smyrna,30080-4109,James,Ward,,James.Ward@cobbk12.org,678.842.6838,678.842.6840
2012,633,Cobb County,4056,Daniell Middle School,M,06-08,2900 Scott Rd ,Marietta,GA,30066-3777,2900 Scott Rd ,Marietta,30066-3777,David,Nelson,,David.Nelson@cobbk12.org,678.594.8048,678.594.8050
2012,633,Cobb County,4066,Pebblebrook High School,H,09-12,991 Old Alabama Rd SW ,Mableton,GA,30126-4109,991 Old Alabama Rd SW ,Mableton,30126-4109,Zinta,Perkins,,Zinta.Perkins@cobbk12.org,770.819.2521,770.819.2523
2012,633,Cobb County,4068,Teasley Elementary School,E,PK-05,3640 Spring Hill Rd SE,Smyrna,GA,30080-4652,3640 Spring Hill Rd SE,Smyrna,30080-4652,Leslie,Mansfield,,leslie.mansfield@cobbk12.org,770.437.5945,770.437.5947
2012,633,Cobb County,4560,Hollydale Elementary School,E,PK-05,2901 Bay Berry Dr SW,Marietta,GA,30008-5605,2901 Bay Berry Dr SW ,Marietta,30008-5605,Lynn,McWhorter,,lynn.mcwhorter@cobbk12.org,678.594.8143,678.594.8145
2012,633,Cobb County,5050,Bells Ferry Elementary School,E,PK-05,2600 Bells Ferry Rd ,Marietta,GA,30066-3675,2600 Bells Ferry Rd ,Marietta,30066-3675,LaDonna,Starnes,,LaDonna.Starnes@cobbk12.org,678.594.8950,770.594.8952
2012,633,Cobb County,5052,Brumby Elementary School,E,PK-05,1306 Powers Ferry Rd SE,Marietta,GA,30067-5410,1306 Powers Ferry Rd SE,Marietta,30067-5410,Amanda,Richie,,Amanda.Richie@cobbk12.org,770.916.7070,770.916.7072
2012,633,Cobb County,5056,Due West Elementary School,E,PK-05,3900 Due West Rd NW ,Marietta,GA,30064-1020,3900 Due West Rd NW ,Marietta,30064-1020,Peggy,Fleming,,Peggy.Fleming@cobbk12.org,678.594.8071,678.594.8073
2012,633,Cobb County,5058,Floyd Middle School,M,06-08,4803 Floyd Rd SW,Mableton,GA,30126-1323,4803 Floyd Rd SW,Mableton,30126-1323,Teresa,Hargrett,,teresa.hargrett@cobbk12.org,770.819.2453,770.819.2455
2012,633,Cobb County,5062,Mableton Elementary School,E,KK-05,5220 Church St SW ,Mableton,GA,30126-2108,5220 Church St SW ,Mableton,30126-2108,Kym,Eisgruber,Yoriko,Kym.Eisgruber@cobbk12.org,770.819.2513,770.819.2515
2012,633,Cobb County,5067,Sedalia Park Elementary School,E,PK-05,2230 Lower Roswell Rd,Marietta,GA,30068-3359,2230 Lower Roswell Rd,Marietta,30068-3359,Jennifer,Lawson,,jennifer.lawson@cobbk12.org,770.509.5162,770.509.5342
2012,633,Cobb County,5068,Eastvalley Elementary School,E,PK-05,2570 Lower Roswell Rd,Marietta,GA,30068-3635,2570 Lower Roswell Rd,Marietta,30068-3635,Karen ,Wacker,,Karen.Wacker@cobbk12.org,770.578.7214,770.578.7216
2012,634,Coffee County,0100,Indian Creek Elementary,E,PK-05,2033 Ga Highway 158 W ,Douglas,GA,31535-2735,2033 Ga Highway 158 W ,Douglas,31535-2735,Wendell,Stone,,wstone@coffee.k12.ga.us,912.393.1300,912.393.3040
2012,634,Coffee County,0102,Ambrose Elementary School ,E,PK-05,3753 Vickers Xing,Ambrose,GA,31512-4381,3753 Vickers Xing,Ambrose,31512-4381,Mary,Vickers,,MaVickers@coffee.k12.ga.us,912.359.5500,912.359.5565
2012,634,Coffee County,0108,Coffee Middle School,M,06-08,901 Connector 206 N ,Douglas,GA,31533-7150,901 Connector 206 N ,Douglas,31533-7150,Sherri ,Berry,Miller,,912.720.1011,
2012,634,Coffee County,0182,Satilla Elementary School,E,PK-05,5325 Old Axson Rd ,Douglas,GA,31535-3437,5325 Old Axson Rd ,Douglas,31535-3437,Scott,Gillis,,Scott.Gillis@coffee.k12.ga.us,912.384.2602,912.383.5492
2012,634,Coffee County,0191,Broxton-Mary Hayes Elementary,E,PK-05,102 Little Ave W,Broxton,GA,31519-6012,102 Little Ave W ,Broxton,31519-6012,Lee,Mobley,,Lee.Mobley@coffee.k12.ga.us,912.359.2391,912.359.3968
2012,634,Coffee County,0195,Coffee County High School,H,09-12,159 Trojan Way,Douglas,GA,31533-8263,159 Trojan Way,Douglas,31533-8263,Greg,Tanner,,gregtanner@coffee.k12.ga.us,912.384.2094,912.383.4142
2012,634,Coffee County,0282,Eastside Elementary School,E,PK-05,603 McDonald Ave N ,Douglas,GA,31533-0537,603 McDonald Ave N ,Douglas,31533-0537,Michael,Davis,,mdavis@coffee.k12.ga.us,912.384.3187,912.383.0520
2012,634,Coffee County,0291,Nicholls Elementary School,E,PK-05,704 van Streat Hwy,Nicholls,GA,31554-4017,P.O. Box 368 ,Nicholls,31554,Sherri ,Berry,Miller,sherriberry@coffee.k12.ga.us,912.345.2429,912.345.5455
2012,634,Coffee County,0308,George Washington Carver Freshman Campus,H,09-09,1020 Gaskin Ave S ,Douglas,GA,31533-4440,1020 Gaskin Ave S ,Douglas,31533-4440,Greg,Tanner,,greg.tanner@coffee.k12.ga.us,912.384.1342,912.383.4160
2012,634,Coffee County,3052,West Green Elementary School,E,PK-05,106 School Circle Rd ,West Green,GA,31567-4080,106 School Circle Rd ,West Green,31567-4080,Kim,Miller,,Kim.Miller@coffee.k12.ga.us,912.384.2032,912.383.4166
2012,634,Coffee County,5050,Westside Elementary School,E,PK-05,311 Westside Dr ,Douglas,GA,31533-3531,311 Westside Dr ,Douglas,31533-3531,Kim,Harper,,Kim.Harper@coffee.k12.ga.us,912.384.5506,912.383.7833
2012,635,Colquitt County,0111,Willie J. Williams Middle School,M,06-07,950 4th St SW,Moultrie,GA,31768-5416,950 4th St SW,Moultrie,31768-5416,James Douglas,Howell,,dhowell@colquitt.k12.ga.us,229.890.6183,
2012,635,Colquitt County,0112,Colquitt County Achiecvement Center,H,08-12,1800 Park Ave SE,Moultrie,GA,31768-5134,1800 Park Ave SE,Moultrie,31768-5134,Robert,Jones,E,bob.jones@colquitt.k12.ga.us,229.890.6197,
2012,635,Colquitt County,0178,Doerun Elementary School,E,PK-05,111 Mathis Ave,Doerun,GA,31744-5062,P.O. Box 188,Doerun,31744,Charles,Jones,,cjones@colquitt.k12.ga.us,229.782.5276,229.782.5945
2012,635,Colquitt County,0187,Odom Elementary School,E,PK-05,2902 Sardis Church Rd ,Moultrie,GA,31788-1672,2902 Sardis Church Rd ,Moultrie,31788-1672,James,Harrell,A.,jharrell@colquitt.k12.ga.us,229.324.3313,229.324.3317
2012,635,Colquitt County,0278,Norman Park Elementary School,E,PK-05,249 Weeks Ave,Norman Park,GA,31771-5672,249 Weeks Ave,Norman Park,31771-5672,Marlon Keith,Adams,,kadams@colquitt.k12.ga.us,229.769.3612,229.769.5003
2012,635,Colquitt County,1554,Colquitt County High School,H,09-12,1800 Park Ave SE,Moultrie,GA,31768-5134,1800 Park Ave SE,Moultrie,31768-5134,Robert,Jones,E,bob.jones@colquitt.k12.ga.us,229.890.6141,229.890.6166
2012,635,Colquitt County,2052,Funston Elementary School,E,PK-05,137 North Academy Street,Funston,GA,31753,P.O. Box 40,Funston,31753,Ricky,Reynolds,,rreynold@colquitt.k12.ga.us,229.941.2626,229.941.5039
2012,635,Colquitt County,2056,Wright Elementary School,E,PK-05,1812 2nd St SE,Moultrie,GA,31768-6611,1812 2nd St SE,Moultrie,31768-6611,O. Marcus,Bell,,mabell@colquitt.k12.ga.us,229.890.6186,229.890.5002
2012,635,Colquitt County,3050,Stringfellow Elementary School,E,PK-05,200 5th Ave SW ,Moultrie,GA,31768-4622,200 5th Ave SW ,Moultrie,31768-4622,Darlene,Reynolds,Godfrey,dreynold@colquitt.k12.ga.us,229.890.6187,229.890.5007
2012,635,Colquitt County,3052,CA Gray Junior High School,M,08-09,812 11th Ave NW ,Moultrie,GA,31768-3010,812 11th Ave NW ,Moultrie,31768-3010,Todd,Cason,,tcason@colquitt.k12.ga.us,229.890.6189,229.890.6123
2012,635,Colquitt County,3054,Okapilco Elementary School,E,PK-05,3300 Ga Highway 33 N ,Moultrie,GA,31768-2682,3300 Ga Highway 33 N ,Moultrie,31768-2682,Eric,Croft,,ecroft@colquitt.k12.ga.us,229.890.6191,229.890.6129
2012,635,Colquitt County,4050,Cox Elementary School,E,PK-05,1275 11th Ave SE ,Moultrie,GA,31768-6128,1275 11th Ave SE ,Moultrie,31768-6128,Laura,Whitfield,,lwhitfield@colquitt.k12.ga.us,229.890.6190,229.890.6126
2012,635,Colquitt County,4052,Hamilton Elementary School,E,PK-05,5110 Ga Highway 111,Hartsfield,GA,31756-2013,5110 Ga Highway 111,Hartsfield,31756-2013,Brenda,DeMott,,bdemott@colquitt.k12.ga.us,229.941.5594,229.941.5818
2012,635,Colquitt County,5054,Sunset Elementary School,E,PK-05,698 US Highway 319 S,Moultrie,GA,31768-0507,698 US Highway 319 S,Moultrie,31768-0507,Bruce,Owen,,bowen@colquitt.k12.ga.us,229.890.6184,229.873.3306
2012,636,Columbia County,0101,Greenbrier Middle School,M,06-08,5120 Riverwood Pkwy ,Evans,GA,30809-6628,5120 Riverwood Pkwy ,Evans,30809-6628,Chip,Fulmer,,charles.fulmer@ccboe.net,706.650.6080,706.650.6085
2012,636,Columbia County,0102,Lewiston Elementary School,E,PK-05,5426 Hereford Farm Rd,Evans,GA,30809-7002,5426 Hereford Farm Rd,Evans,30809-7002,Michael,Doolittle,,mdoolittle@ccboe.net,706.650.6064,706.650.6067
2012,636,Columbia County,0103,Grovetown Middle School,M,06-08,5463 Harlem Grovetown Rd,Grovetown,GA,30813-4860,5463 Harlem Grovetown Rd,Grovetown,30813-4860,Tom,Smallwood,,tsmallwood@ccboe.net,706.855.2514,706.868.3734
2012,636,Columbia County,0106,River Ridge Elementary,E,PK-05,4109 Mullikin Rd ,Evans,GA,30809-4805,4109 Mullikin Rd ,Evans,30809-4805,Revelle,Cox,,rcox@ccboe.net,706.447.1016,706.447.1019
2012,636,Columbia County,0107,Evans Middle School,M,06-08,4785 Hereford Farm Rd ,Evans,GA,30809-6037,4785 Hereford Farm Rd ,Evans,30809-6037,Michael,Johnson,R. ,michael.johnson@ccboe.net,706.868.3689,..
2012,636,Columbia County,0108,Stallings Island Middle School,M,06-08,3830 Blackstone Camp Rd ,Martinez,GA,30907-9552,3830 Blackstone Camp Rd ,Martinez,30907-9552,Don,Putnam,,dputnam@ccboe.net,706.447.2106,..
2012,636,Columbia County,0112,Grovetown High School,H,09-12,2010 Warrior Way,Grovetown,GA,30813-8132,2010 Warrior Way,Grovetown,30813-8132,Penny,Jackson,,Penny.Jackson@ccboe.net,706.447.2102,
2012,636,Columbia County,0173,Westmont Elementary School,E,PK-05,4558 Oakley Pirkle Rd ,Martinez,GA,30907-8840,4558 Oakley Pirkle Rd ,Martinez,30907-8840,Tami,Flowers,,tflowers@ccboe.net,706.863.0992,706.868.2189
2012,636,Columbia County,0183,Harlem High School,H,09-12,1070 Appling Harlem Rd,Harlem,GA,30814-5319,1070 Appling Harlem Rd,Harlem,30814-5319,Dietmar,Perez,,dperez@ccboe.net,706.556.5980,706.556.5986
2012,636,Columbia County,0186,Evans Elementary School,E,PK-05,628 Gibbs Rd ,Evans,GA,30809-6315,628 Gibbs Rd ,Evans,30809-6315,Naesha,Parks,,naesha.parks@ccboe.net,706.863.1202,706.868.2183
2012,636,Columbia County,0188,Blue Ridge Elementary School,E,PK-05,550 Blue Ridge Dr ,Evans,GA,30809-3652,550 Blue Ridge Dr ,Evans,30809-3652,Karen,Fischer,,kfischer@ccboe.net,706.868.0894,706.868.2181
2012,636,Columbia County,0189,Lakeside High School,H,09-12,533 Blue Ridge Dr,Evans,GA,30809-3605,533 Blue Ridge Dr,Evans,30809-3605,Steven,Rhodes,,steven.rhodes@ccboe.net,706.863.0027,706.868.3721
2012,636,Columbia County,0190,Brookwood Elementary School,E,PK-05,455 S Old Belair Rd,Grovetown,GA,30813-4509,455 S Old Belair Rd,Grovetown,30813-4509,Brenda,Jones,,bjones@ccboe.net,706.855.7538,706.868.2182
2012,636,Columbia County,0192,Stevens Creek Elementary School,E,PK-05,3780 Evans To Locks Rd,Martinez,GA,30907-4912,3780 Evans To Locks Rd,Martinez,30907-4912,Michelle,Paschal,,mpaschal@ccboe.net,706.868.3705,706.868.2188
2012,636,Columbia County,0193,Riverside Middle School,M,06-08,1095 Furys Ferry Rd,Evans,GA,30809-5113,1095 Furys Ferry Rd,Evans,30809-5113,Yvette,Foster-Williams,,yvette.foster@ccboe.net,706.868.3712,706.868.2192
2012,636,Columbia County,0194,Riverside Elementary School,E,PK-05,4431 Hardy McManus Rd ,Evans,GA,30809-5042,4431 Hardy McManus Rd ,Evans,30809-5042,Judith,Bonadio,,jbonadio@ccboe.net,706.868.3736,706.868.2186
2012,636,Columbia County,0197,Greenbrier High School,H,09-12,5114 Riverwood Pkwy ,Evans,GA,30809-6628,5114 Riverwood Pkwy ,Evans,30809-6628,Chris,Segraves,,csegraves@ccboe.net,706.650.6040,706.650.6045
2012,636,Columbia County,0208,Cedar Ridge Elementary School,E,PK-05,1000 Trudeau Trl ,Grovetown,GA,30813-2015,1000 Trudeau Trail ,Grovetown,30813,Sarah,Walls,,swalls@ccboe.net,706.447.2100,
2012,636,Columbia County,0212,Baker Place Elementary School,E,PK-05,2011 Hero Way,Grovetown,GA,30813,2011 Hero Way,Grovetown,30813,Leeann ,Fleischauer,,lfleischauer@ccboe.net,706.447.2115,
2012,636,Columbia County,0283,Harlem Middle School,M,06-08,375 W Forrest St,Harlem,GA,30814-4640,P.O. Box 730 ,Harlem,30814,Carla,Shelton,,cshelton@ccboe.net,706.556.5990,706.556.5961
2012,636,Columbia County,0290,Lakeside Middle School,M,06-08,527 Blue Ridge Dr,Evans,GA,30809-3605,527 Blue Ridge Dr,Evans,30809-3605,Felicia,Turner,,felicia.turner@ccboe.net,706.855.6900,706.868.2191
2012,636,Columbia County,0297,Greenbrier Elementary School,E,PK-05,5116 Riverwood Pkwy ,Evans,GA,30809-6628,5116 Riverwood Pkwy ,Evans,30809-6628,Judy,Holton,,judy.holton@ccboe.net,706.650.6060,706.650.6063
2012,636,Columbia County,0397,Euchee Creek Elementary School,E,PK-05,795 Louisville Rd,Grovetown,GA,30813-4006,795 Louisville Rd,Grovetown,30813-4006,Katy,Yeargain,,katy.yeargain@ccboe.net,706.556.4000,706.556.4003
2012,636,Columbia County,1050,Bel Air Elementary School,E,PK-05,325 N Belair Rd,Evans,GA,30809-3001,325 N Belair Rd,Evans,30809-3001,Mark,Boyd,,mboyd@ccboe.net,706.863.8724,706.868.2180
2012,636,Columbia County,2050,Columbia Middle School,M,06-08,6000 Columbia Rd,Grovetown,GA,30813-5111,6000 Columbia Rd,Grovetown,30813-5111,Steven,Cummings,,steven.cummings@ccboe.net,706.541.1252,706.541.2742
2012,636,Columbia County,2052,Martinez Elementary School,E,PK-05,213 Flowing Wells Rd ,Martinez,GA,30907-2139,213 Flowing Wells Rd ,Martinez,30907-2139,Wrenford,White,,wade.white@ccboe.net,706.863.8308,706.868.2185
2012,636,Columbia County,3052,North Columbia Elementary School,E,PK-05,2874 Ray Owens Rd,Appling,GA,30802-2204,2874 Ray Owens Rd,Appling,30802-2204,Kay,Sanders,,kay.sanders@ccboe.net,706.541.1158,706.541.2741
2012,636,Columbia County,4050,Evans High School,H,09-12,4550 Cox Rd,Evans,GA,30809-3402,4550 Cox Rd,Evans,30809-3402,Don,Brigdon,,dbrigdon@ccboe.net,706.863.1198,706.868.3720
2012,636,Columbia County,4052,North Harlem Elementary School,E,PK-05,525 Fairview Dr ,Harlem,GA,30814-6005,P.O. Box 670,Harlem,30814,Kirk,Wright,,kirk.wright@ccboe.net,706.556.5995,706.556.5960
2012,636,Columbia County,5050,Grovetown Elementary School,E,PK-05,300 Ford Ave,Grovetown,GA,30813-2607,P.O. Box 640,Grovetown,30813,Scott,Weinand,,david.weinand@ccboe.net,706.863.0800,706.868.2184
2012,636,Columbia County,5052,South Columbia Elementary School,E,PK-05,325 McCormick Rd ,Martinez,GA,30907-2603,325 McCormick Rd ,Martinez,30907-2603,Lisa ,Reeder,,lreeder@ccboe.net,706.863.3220,706.868.2187
2012,637,Cook County,0101,Cook County Middle School,M,06-08,1601 N Elm St ,Sparks,GA,31647-7910,1601 N Elm St ,Sparks,31647-7910,David,Boland,,dboland@cook.k12.ga.us,229.549.5999,229.549.5986
2012,637,Cook County,0104,Cook Elementary School,E,03-05,1512 N Elm St ,Sparks,GA,31647-7907,1512 N Elm St ,Sparks,31647-7907,Leslie,Folsom,,lfolsom@cook.k12.ga.us,229.549.6250,229.549.6252
2012,637,Cook County,0111,Cook High School,H,09-12,9900 Ga Highway 37,Adel,GA,31620-6044,9900 Ga Highway 37,Adel,31620-6044,Keith,Croft,,kcroft@cook.k12.ga.us,229.896.2213,
2012,637,Cook County,0196,Cook Primary School,E,PK-02,1531 Patterson St ,Adel,GA,31620-4035,1531 Patterson St ,Adel,31620-4035,Timmie,Baker,,tbaker@cook.k12.ga.us,229.549.7713,229.549.8312
