Division  Num ,Division Name ,NCES School Num ,School  Num ,School Name ,Low  Grades ,High  Grades ,Division  Description ,School Description ,Grade  Standard ,Schedule ,Principal ,Address1 ,City ,State ,Zip ,Phone  Number ,Fall  Membership  Schools,Address
136,Chesapeake Public Schools,5.10E+11,770,Butts Road Primary,PK,2,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. James S. Lewter ,1000 Mt Pleasant Rd,Chesapeake,VA,23322,757-482-5820,Membership,"Butts Road Primary, 1000 Mt Pleasant Rd, Chesapeake, VA, 23322"
136,Chesapeake Public Schools,5.10E+11,90,Camelot Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Karen  Cooper-Collins ,2901 Guenevere Dr,Chesapeake,VA,23323,757-558-5347,Membership,"Camelot Elementary, 2901 Guenevere Dr, Chesapeake, VA, 23323"
136,Chesapeake Public Schools,5.10E+11,900,Cedar Road Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Michael R. Bailey ,1605 Cedar Rd,Chesapeake,VA,23322,757-547-0166,Membership,"Cedar Road Elementary, 1605 Cedar Rd, Chesapeake, VA, 23322"
136,Chesapeake Public Schools,5.10E+11,130,Chesapeake Alternative,,,Local Education Agency,Public center - Alternative,,,Dr. Penny K. Schultz ,605 Providence Road,Chesapeake,VA,23325,757-578-7046,Non-Membership,"Chesapeake Alternative, 605 Providence Road, Chesapeake, VA, 23325"
136,Chesapeake Public Schools,5.10E+11,780,Chesapeake Center for Science &Technology,,,Local Education Agency,Public center - Career and Technical Ed.,,,Mr. William O. Joe ,1617 Cedar Rd,Chesapeake,VA,23322,757-547-0134,Non-Membership,"Chesapeake Center for Science &Technology, 1617 Cedar Rd, Chesapeake, VA, 23322"
136,Chesapeake Public Schools,5.10E+11,700,Crestwood Intermediate,3,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Eva Renee Carney ,1240 Great Bridge Blvd,Chesapeake,VA,23320,757-494-7565,Membership,"Crestwood Intermediate, 1240 Great Bridge Blvd, Chesapeake, VA, 23320"
136,Chesapeake Public Schools,5.10E+11,560,Crestwood Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Mr. Michael R. Ward ,1420 Great Bridge Blvd,Chesapeake,VA,23320,757-494-7560,Membership,"Crestwood Middle, 1420 Great Bridge Blvd, Chesapeake, VA, 23320"
136,Chesapeake Public Schools,5.10E+11,660,Deep Creek Central Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Barbara A. Fortner ,2448 Shipyard Rd,Chesapeake,VA,23323,757-558-5356,Membership,"Deep Creek Central Elementary, 2448 Shipyard Rd, Chesapeake, VA, 23323"
136,Chesapeake Public Schools,5.10E+11,210,Deep Creek Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. D. Jean Jones ,2809 Forehand Dr,Chesapeake,VA,23323,757-558-5333,Membership,"Deep Creek Elementary, 2809 Forehand Dr, Chesapeake, VA, 23323"
136,Chesapeake Public Schools,5.10E+11,100,Deep Creek High,9,12,Local Education Agency,Public school - Regular,High,4X4,Ms. J. Page Bagley ,2900 Margaret Booker Dr,Chesapeake,VA,23323,757-558-5302,Membership,"Deep Creek High, 2900 Margaret Booker Dr, Chesapeake, VA, 23323"
136,Chesapeake Public Schools,5.10E+11,610,Deep Creek Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Dr. Muriel P. Barefield ,1955 Deal Dr,Chesapeake,VA,23323,757-558-5321,Membership,"Deep Creek Middle, 1955 Deal Dr, Chesapeake, VA, 23323"
136,Chesapeake Public Schools,5.10E+11,640,Edwin W. Chittum Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Sharon W. Miles ,2008 Dock Landing Rd,Chesapeake,VA,23321,757-465-6300,Membership,"Edwin W. Chittum Elementary, 2008 Dock Landing Rd, Chesapeake, VA, 23321"
136,Chesapeake Public Schools,5.10E+11,720,G.A. Treakle Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Shelia  Johnson ,2500 Gilmerton Rd,Chesapeake,VA,23323,757-558-5361,Membership,"G.A. Treakle Elementary, 2500 Gilmerton Rd, Chesapeake, VA, 23323"
136,Chesapeake Public Schools,5.10E+11,50,George W. Carver Intermediate,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Angela L. Isbell ,2601 Broad St,Chesapeake,VA,23324,757-494-7505,Membership,"George W. Carver Intermediate, 2601 Broad St, Chesapeake, VA, 23324"
136,Chesapeake Public Schools,5.10E+11,820,Georgetown Primary,PK,3,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Terry A. Reitz ,436 Providence Rd,Chesapeake,VA,23325,757-578-7060,Membership,"Georgetown Primary, 436 Providence Rd, Chesapeake, VA, 23325"
136,Chesapeake Public Schools,5.10E+11,950,Grassfield Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Robert  Sander ,2248 Averill Dr.,Chesapeake,VA,23323,757-558-8923,Membership,"Grassfield Elementary, 2248 Averill Dr., Chesapeake, VA, 23323"
136,Chesapeake Public Schools,5.10E+11,960,Grassfield High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Michael N. Perez ,2007 Grizzly Trail,Chesapeake,VA,23323,757-558-4749,Membership,"Grassfield High, 2007 Grizzly Trail, Chesapeake, VA, 23323"
136,Chesapeake Public Schools,,965,Grassfield High School Governor's STEM Academy,,,Local Education Agency,Public center - STEM Academy,,,   ,2007 Grizzly Trail,Chesapeake,VA,23323,757-558-4493,Non-Membership,"Grassfield High School Governor's STEM Academy, 2007 Grizzly Trail, Chesapeake, VA, 23323"
136,Chesapeake Public Schools,5.10E+11,120,Great Bridge High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mrs. Michelle K. Porter ,301 West Hanbury Rd,Chesapeake,VA,23322,757-482-5191,Membership,"Great Bridge High, 301 West Hanbury Rd, Chesapeake, VA, 23322"
136,Chesapeake Public Schools,5.10E+11,850,Great Bridge Intermediate,3,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Heather D. Martin ,253 West Hanbury Rd,Chesapeake,VA,23322,757-482-4405,Membership,"Great Bridge Intermediate, 253 West Hanbury Rd, Chesapeake, VA, 23322"
136,Chesapeake Public Schools,5.10E+11,590,Great Bridge Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Mr. Craig K. Mills ,441 Battlefield Blvd S,Chesapeake,VA,23322,757-482-5128,Membership,"Great Bridge Middle, 441 Battlefield Blvd S, Chesapeake, VA, 23322"
136,Chesapeake Public Schools,5.10E+11,680,Great Bridge Primary,PK,2,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Theresa L. Myers ,408 Cedar Rd,Chesapeake,VA,23322,757-547-1135,Membership,"Great Bridge Primary, 408 Cedar Rd, Chesapeake, VA, 23322"
136,Chesapeake Public Schools,5.10E+11,870,Greenbrier Intermediate,3,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Keith C. Hyater ,1701 River Birch Run N,Chesapeake,VA,23320,757-578-7080,Membership,"Greenbrier Intermediate, 1701 River Birch Run N, Chesapeake, VA, 23320"
136,Chesapeake Public Schools,5.10E+11,972,Greenbrier Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Mr. Michael  Mustain ,1016 Greenbrier Pkwy,Chesapeake,VA,23320,757-548-5309,Membership,"Greenbrier Middle, 1016 Greenbrier Pkwy, Chesapeake, VA, 23320"
136,Chesapeake Public Schools,5.10E+11,140,Greenbrier Primary,PK,2,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Elizabeth S. Stublen ,1551 Eden Way South,Chesapeake,VA,23320,757-436-3428,Membership,"Greenbrier Primary, 1551 Eden Way South, Chesapeake, VA, 23320"
136,Chesapeake Public Schools,5.10E+11,340,Hickory Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Kimberly C. Pinello ,109 Benefit Road,Chesapeake,VA,23322,757-421-7080,Membership,"Hickory Elementary, 109 Benefit Road, Chesapeake, VA, 23322"
136,Chesapeake Public Schools,5.10E+11,890,Hickory High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mrs. Alfredia C. Turner ,1996 Hawk Blvd,Chesapeake,VA,23322,757-421-4295,Membership,"Hickory High, 1996 Hawk Blvd, Chesapeake, VA, 23322"
136,Chesapeake Public Schools,5.10E+11,280,Hickory Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Dr. Deborah T. Hutchens ,1997 Hawk Blvd,Chesapeake,VA,23322,757-421-0468,Membership,"Hickory Middle, 1997 Hawk Blvd, Chesapeake, VA, 23322"
136,Chesapeake Public Schools,5.10E+11,920,Hugo A. Owens Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Mrs. Amber N. Dortch ,1997 Horseback Run,Chesapeake,VA,23323,757-558-5382,Membership,"Hugo A. Owens Middle, 1997 Horseback Run, Chesapeake, VA, 23323"
136,Chesapeake Public Schools,5.10E+11,830,Indian River High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. James L. Frye ,1969 Braves Trl,Chesapeake,VA,23325,757-578-7000,Membership,"Indian River High, 1969 Braves Trl, Chesapeake, VA, 23325"
136,Chesapeake Public Schools,5.10E+11,710,Indian River Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Mrs. Naomi R. Dunbar ,2300 Old Greenbrier Rd,Chesapeake,VA,23325,757-578-7030,Membership,"Indian River Middle, 2300 Old Greenbrier Rd, Chesapeake, VA, 23325"
136,Chesapeake Public Schools,,974,Indian River Middle Annex,,,Local Education Agency,Annex to a public school,,,   ,605 Providence Road,Chesapeake,VA,23325,757-578-7023,Non-Membership,"Indian River Middle Annex, 605 Providence Road, Chesapeake, VA, 23325"
136,Chesapeake Public Schools,5.10E+11,973,Jolliff Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Quentin E. Hicks ,1021 Jolliff Rd.,Chesapeake,VA,23321,757-465-5246,Membership,"Jolliff Middle, 1021 Jolliff Rd., Chesapeake, VA, 23321"
136,Chesapeake Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,2107 E. Liberty St,Chesapeake,VA,23224,757-494-7600,Membership,"Local or Regional Jail, 2107 E. Liberty St, Chesapeake, VA, 23224"
136,Chesapeake Public Schools,5.10E+11,160,Norfolk Highlands Primary,PK,3,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Shawnia C. Smiley ,1115 Myrtle Ave,Chesapeake,VA,23325,757-578-7092,Membership,"Norfolk Highlands Primary, 1115 Myrtle Ave, Chesapeake, VA, 23325"
136,Chesapeake Public Schools,5.10E+11,80,Oscar F. Smith High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Paul A. Joseph ,1994 Tiger Dr,Chesapeake,VA,23320,757-548-0696,Membership,"Oscar F. Smith High, 1994 Tiger Dr, Chesapeake, VA, 23320"
136,Chesapeake Public Schools,5.10E+11,10,Oscar Smith Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Mrs. Judith C. Thurston ,2500 Rodgers St,Chesapeake,VA,23324,757-494-7590,Membership,"Oscar Smith Middle, 2500 Rodgers St, Chesapeake, VA, 23324"
136,Chesapeake Public Schools,5.10E+11,730,Portlock Primary,PK,2,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Nancy L. Cruz ,1857 Varsity Dr,Chesapeake,VA,23324,757-494-7555,Membership,"Portlock Primary, 1857 Varsity Dr, Chesapeake, VA, 23324"
136,Chesapeake Public Schools,,975,Re-Ed Center-Treakle Site,,,Local Education Agency,SNP feeding site,,,   ,140 George Washington Hwy N,Chesapeake,VA,23323,757-547-0165,Non-Membership,"Re-Ed Center-Treakle Site, 140 George Washington Hwy N, Chesapeake, VA, 23323"
136,Chesapeake Public Schools,5.10E+11,200,Rena B. Wright Primary,PK,2,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Brenda  Hobbs ,600 Park Ave,Chesapeake,VA,23324,757-494-7585,Membership,"Rena B. Wright Primary, 600 Park Ave, Chesapeake, VA, 23324"
136,Chesapeake Public Schools,5.10E+11,620,Southeastern Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Hope  Terrell ,1853 Battlefield Blvd S,Chesapeake,VA,23322,757-421-7676,Membership,"Southeastern Elementary, 1853 Battlefield Blvd S, Chesapeake, VA, 23322"
136,Chesapeake Public Schools,5.10E+11,600,Southwestern Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Sonya L. Beasley ,4410 Airline Blvd,Chesapeake,VA,23321,757-465-6310,Membership,"Southwestern Elementary, 4410 Airline Blvd, Chesapeake, VA, 23321"
136,Chesapeake Public Schools,5.10E+11,750,Sparrow Road Intermediate,4,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Sharon L. Popson ,1605 Sparrow Rd,Chesapeake,VA,23325,757-578-7050,Membership,"Sparrow Road Intermediate, 1605 Sparrow Rd, Chesapeake, VA, 23325"
136,Chesapeake Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,Non-Membership,"Special Situation Schools, , , , "
136,Chesapeake Public Schools,5.10E+11,40,Thurgood Marshall Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Linda L. Woolard ,2706 Border Road,Chesapeake,VA,23324,757-494-7515,Membership,"Thurgood Marshall Elementary, 2706 Border Road, Chesapeake, VA, 23324"
136,Chesapeake Public Schools,5.10E+11,971,Truitt Intermediate,3,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Regina B. Ratcliff ,1100 Holly Ave,Chesapeake,VA,23324,757-494-8014,Membership,"Truitt Intermediate, 1100 Holly Ave, Chesapeake, VA, 23324"
136,Chesapeake Public Schools,5.10E+11,840,Western Branch High,9,12,Local Education Agency,Public school - Regular,High,4X4,Dr. Thomas A. Whitley ,1968 Bruin Pl,Chesapeake,VA,23321,757-638-7900,Membership,"Western Branch High, 1968 Bruin Pl, Chesapeake, VA, 23321"
136,Chesapeake Public Schools,5.10E+11,810,Western Branch Intermediate,3,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Jataune N. Jones ,4013 Terry Dr,Chesapeake,VA,23321,757-638-7941,Membership,"Western Branch Intermediate, 4013 Terry Dr, Chesapeake, VA, 23321"
136,Chesapeake Public Schools,5.10E+11,740,Western Branch Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Mrs. Carol T. Stanek ,4201 Hawksley Dr,Chesapeake,VA,23321,757-638-7920,Membership,"Western Branch Middle, 4201 Hawksley Dr, Chesapeake, VA, 23321"
136,Chesapeake Public Schools,5.10E+11,110,Western Branch Primary,PK,2,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Gayle J. Bartlett ,4122 Terry Dr,Chesapeake,VA,23321,757-638-7951,Membership,"Western Branch Primary, 4122 Terry Dr, Chesapeake, VA, 23321"
21,Chesterfield County Public Schools,5.10E+11,620,A.M. Davis Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Rachel  Foglesong ,415 S Providence Rd,Richmond,VA,23236,804-674-1310,Membership,"A.M. Davis Elementary, 415 S Providence Rd, Richmond, VA, 23236"
21,Chesterfield County Public Schools,5.10E+11,861,Alberta Smith Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Elizabeth  Stefanko ,13200 Bailey Bridge Rd,Midlothian,VA,23112,804-739-6295,Membership,"Alberta Smith Elementary, 13200 Bailey Bridge Rd, Midlothian, VA, 23112"
21,Chesterfield County Public Schools,5.10E+11,631,Bailey Bridge Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Kume  Goranson ,12501 Bailey Bridge Rd,Midlothian,VA,23112,804-739-6200,Membership,"Bailey Bridge Middle, 12501 Bailey Bridge Rd, Midlothian, VA, 23112"
21,Chesterfield County Public Schools,5.10E+11,660,Bellwood Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Jennifer  Rudd ,9536 Dawnshire Rd,Richmond,VA,23237,804-743-3600,Membership,"Bellwood Elementary, 9536 Dawnshire Rd, Richmond, VA, 23237"
21,Chesterfield County Public Schools,5.10E+11,430,Bensley Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Bessie  Cooper ,6600 Strathmore Rd,Richmond,VA,23237,804-743-3610,Membership,"Bensley Elementary, 6600 Strathmore Rd, Richmond, VA, 23237"
21,Chesterfield County Public Schools,5.10E+11,510,Bettie Weaver Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Holly  Richard ,3600 James River Rd,Midlothian,VA,23113,804-378-2540,Membership,"Bettie Weaver Elementary, 3600 James River Rd, Midlothian, VA, 23113"
21,Chesterfield County Public Schools,5.10E+11,130,Beulah Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Mary Jean Hunt ,4216 Beulah Rd,Richmond,VA,23237,804-743-3620,Membership,"Beulah Elementary, 4216 Beulah Rd, Richmond, VA, 23237"
21,Chesterfield County Public Schools,5.10E+11,20,Bon Air Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Bruce C. Tetlow ,8701 Polk St,Bon Air,VA,23235,804-560-2700,Membership,"Bon Air Elementary, 8701 Polk St, Bon Air, VA, 23235"
21,Chesterfield County Public Schools,5.10E+11,50,C.C. Wells Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Robin  Morgan ,13101 S. Chester Rd.,Chester,VA,23831,804-768-6265,Membership,"C.C. Wells Elementary, 13101 S. Chester Rd., Chester, VA, 23831"
21,Chesterfield County Public Schools,5.10E+11,492,C.E. Curtis Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Susan  Pereira ,3600 W Hundred Rd,Chester,VA,23831,804-768-6175,Membership,"C.E. Curtis Elementary, 3600 W Hundred Rd, Chester, VA, 23831"
21,Chesterfield County Public Schools,5.10E+11,420,Carver Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Mr. Donald  Ashburn ,3800 Cougar Trail,Chester,VA,23831,804-524-3620,Membership,"Carver Middle, 3800 Cougar Trail, Chester, VA, 23831"
21,Chesterfield County Public Schools,,990,Chesterfield Co Governor's Health/Science Academy,,,Local Education Agency,Public center - Health Academy,,,   ,P. O. Box 10,Chesterfield,VA,23832,804-788-6165,Non-Membership,"Chesterfield Co Governor's Health/Science Academy, P. O. Box 10, Chesterfield, VA, 23832"
21,Chesterfield County Public Schools,5.10E+11,30,Chesterfield Community High,9,12,Local Education Agency,Public school - Alternative,High,4X4,Dr. Kenneth  Butta ,12400 Branders Bridge Road,Chester,VA,23831,804-768-6156,Membership,"Chesterfield Community High, 12400 Branders Bridge Road, Chester, VA, 23831"
21,Chesterfield County Public Schools,5.10E+11,140,Chesterfield Tech.,,,Local Education Agency,Public center - Career and Technical Ed.,,6 A/B,Dr. Colleen  Bryant ,10101 Courthouse Rd,Chesterfield,VA,23832,804-768-6160,Non-Membership,"Chesterfield Tech., 10101 Courthouse Rd, Chesterfield, VA, 23832"
21,Chesterfield County Public Schools,5.10E+11,150,Clover Hill Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Catherine  Hines ,5700 Woodlake Village Pkwy,Midlothian,VA,23112,804-739-6220,Membership,"Clover Hill Elementary, 5700 Woodlake Village Pkwy, Midlothian, VA, 23112"
21,Chesterfield County Public Schools,5.10E+11,740,Clover Hill High,9,12,Local Education Agency,Public school - Regular,High,7 A/B,Dr. Deborah  Marks ,13301 Kelly Green Lane,Midlothian,VA,23112,804-739-6230,Membership,"Clover Hill High, 13301 Kelly Green Lane, Midlothian, VA, 23112"
21,Chesterfield County Public Schools,5.10E+11,840,Cosby High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Dr. Brenda  Mayo ,14300 Fox Club Parkway,Midlothian,VA,23112,804-639-8340,Membership,"Cosby High, 14300 Fox Club Parkway, Midlothian, VA, 23112"
21,Chesterfield County Public Schools,5.10E+11,560,Crestwood Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Michael  Courtney ,7600 Whittington Dr.,Richmond,VA,23225,804-560-2710,Membership,"Crestwood Elementary, 7600 Whittington Dr., Richmond, VA, 23225"
21,Chesterfield County Public Schools,5.10E+11,480,Ecoff Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Joshua  Cole ,5200 Ecoff Ave.,Chester,VA,23831,804-768-6185,Membership,"Ecoff Elementary, 5200 Ecoff Ave., Chester, VA, 23831"
21,Chesterfield County Public Schools,5.10E+11,870,Elizabeth Davis Middle,6,8,Local Education Agency,Public school - Regular,Middle,,Dr. Tameshia V Grimes ,601 Corvus Court,Chester,VA,23836,804-541-4700,Membership,"Elizabeth Davis Middle, 601 Corvus Court, Chester, VA, 23836"
21,Chesterfield County Public Schools,5.10E+11,850,Elizabeth Scott Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,,Joan  Temple ,813 Beginners Trail Loop,Chester,VA,23836,804-541-4660,Membership,"Elizabeth Scott Elementary, 813 Beginners Trail Loop, Chester, VA, 23836"
21,Chesterfield County Public Schools,,862,Enon Annex,,,Local Education Agency,Annex to a public school,,Traditional Elementary,   ,13824 Lawing Dr.,Colonial Heights,VA,23834,804-000-0000,Non-Membership,"Enon Annex, 13824 Lawing Dr., Colonial Heights, VA, 23834"
21,Chesterfield County Public Schools,5.10E+11,390,Enon Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Michael  Crusco ,2001 E. Hundred Rd.,Chester,VA,23836,804-530-5720,Membership,"Enon Elementary, 2001 E. Hundred Rd., Chester, VA, 23836"
21,Chesterfield County Public Schools,5.10E+11,350,Ettrick Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Teressa  Clary ,20910 Chesterfield Ave.,Ettrick,VA,23803,804-520-6005,Membership,"Ettrick Elementary, 20910 Chesterfield Ave., Ettrick, VA, 23803"
21,Chesterfield County Public Schools,5.10E+11,300,Evergreen Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Matthew  Maher ,1701 Evergreen East Pkwy.,Midlothian,VA,23114,804-378-2400,Membership,"Evergreen Elementary, 1701 Evergreen East Pkwy., Midlothian, VA, 23114"
21,Chesterfield County Public Schools,5.10E+11,590,Falling Creek Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Pam  Johnson ,4800 Hopkins Rd.,Richmond,VA,23234,804-743-3630,Membership,"Falling Creek Elementary, 4800 Hopkins Rd., Richmond, VA, 23234"
21,Chesterfield County Public Schools,5.10E+11,670,Falling Creek Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Melanie  Knowles ,4724 Hopkins Rd.,Richmond,VA,23234,804-743-3640,Membership,"Falling Creek Middle, 4724 Hopkins Rd., Richmond, VA, 23234"
21,Chesterfield County Public Schools,,980,Governor's Career and Technical Academy for Engineering Studies,,,Local Education Agency,Public center - STEM Academy,,,   ,LLoyed C. Byrd High School,Chesterfield,VA,23832,804-225-2099,Non-Membership,"Governor's Career and Technical Academy for Engineering Studies, LLoyed C. Byrd High School, Chesterfield, VA, 23832"
21,Chesterfield County Public Schools,5.10E+11,180,Grange Hall Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Randi  Smith ,19301 Hull Street Rd.,Moseley,VA,23120,804-739-6265,Membership,"Grange Hall Elementary, 19301 Hull Street Rd., Moseley, VA, 23120"
21,Chesterfield County Public Schools,5.10E+11,70,Greenfield Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mary  Dunn ,10751 Savoy Rd.,Richmond,VA,23235,804-560-2720,Membership,"Greenfield Elementary, 10751 Savoy Rd., Richmond, VA, 23235"
21,Chesterfield County Public Schools,5.10E+11,460,Harrowgate Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Patrice  Wilson ,15501 Harrowgate Rd.,Chester,VA,23831,804-520-6015,Membership,"Harrowgate Elementary, 15501 Harrowgate Rd., Chester, VA, 23831"
21,Chesterfield County Public Schools,5.10E+11,60,Hopkins Road Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Lisa  Hill ,6000 Hopkins Rd.,Richmond,VA,23234,804-743-3665,Membership,"Hopkins Road Elementary, 6000 Hopkins Rd., Richmond, VA, 23234"
21,Chesterfield County Public Schools,5.10E+11,550,J.A. Chalkley Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Myla  Burgess ,8800 Jacobs Rd,Chesterfield,VA,23832,804-674-1300,Membership,"J.A. Chalkley Elementary, 8800 Jacobs Rd, Chesterfield, VA, 23832"
21,Chesterfield County Public Schools,5.10E+11,650,J.B. Watkins Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Marlene  Scott ,501 Coalfield Rd.,Midlothian,VA,23114,804-378-2530,Membership,"J.B. Watkins Elementary, 501 Coalfield Rd., Midlothian, VA, 23114"
21,Chesterfield County Public Schools,5.10E+11,500,J.G. Hening Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Deia  Champ ,5230 Chicora Dr.,Richmond,VA,23234,804-743-3655,Membership,"J.G. Hening Elementary, 5230 Chicora Dr., Richmond, VA, 23234"
21,Chesterfield County Public Schools,5.10E+11,400,Jacobs Road Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Eileen  Traveline ,8800 Jacobs Rd.,Chesterfield,VA,23832,804-674-1320,Membership,"Jacobs Road Elementary, 8800 Jacobs Rd., Chesterfield, VA, 23832"
21,Chesterfield County Public Schools,5.10E+11,770,James River High,9,12,Local Education Agency,Public school - Regular,High,7 A/B,Jeffery  Ellick ,3700 James River Rd.,Midlothian,VA,23113,804-378-2420,Membership,"James River High, 3700 James River Rd., Midlothian, VA, 23113"
21,Chesterfield County Public Schools,5.10E+11,10,Lloyd C. Bird High,9,12,Local Education Agency,Public school - Regular,High,7 A/B,Dr. Laura  Hebert ,10301 Courthouse Rd.,Chesterfield,VA,23832,804-768-6110,Membership,"Lloyd C. Bird High, 10301 Courthouse Rd., Chesterfield, VA, 23832"
21,Chesterfield County Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,P.O. Box 10,Chesterfield,VA,23832,804-560-2732,Membership,"Local or Regional Jail, P.O. Box 10, Chesterfield, VA, 23832"
21,Chesterfield County Public Schools,5.10E+11,632,Manchester High,9,12,Local Education Agency,Public school - Regular,High,7 A/B,Mr. Peter M. Koste ,12601 Bailey Bridge Rd.,Midlothian,VA,23112,804-739-6275,Membership,"Manchester High, 12601 Bailey Bridge Rd., Midlothian, VA, 23112"
21,Chesterfield County Public Schools,5.10E+11,600,Manchester Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Sarah  Fraher ,7401 Hull Street Rd.,Richmond,VA,23235,804-674-1385,Membership,"Manchester Middle, 7401 Hull Street Rd., Richmond, VA, 23235"
