Address,Website,District Number,District Name,School Number,School Name,Total Points 2013,Scale,Did this School Benefit from the One-Letter-Grade-Drop Protection?,Marker_Type,Preliminary Grade 2013,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,Grade 2003,Grade 2002,Grade 2001,Grade 2000,Grade 1999,Charter,School Type,Free or Reduced-Price Lunch Rate,Minority Rate,Region,Title I,Alt/ESE Code
"MACFARLANE PARK ELEMENTARY MAGNET SCHOOL 1721 N MACDILL AVE, TAMPA, FL, 33607-3221",                                                                                                    ,29,HILLSBOROUGH,60,MACFARLANE PARK ELEMENTARY MAGNET SCHOOL,556,800,NA,measle_turquoise,C,B,A,B,A,B,B,B,B,B,A,B,C,C,C,NO,2,66,24,4,NO,N
"FREEDOM HIGH SCHOOL 17410 COMMERCE PARK BLVD, TAMPA, FL, 33647-3500",                                                                                                    ,29,HILLSBOROUGH,1541,FREEDOM HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,C,C,,,,,,,,,,,,,YES,4,51,59,3,NO,N
"TEMPLE TERRACE ELEMENTARY SCHOOL 17615 NW 82ND AVE, HIALEAH, FL, 33015-3606",http://psn.dadeschools.net/                                                                         ,29,HILLSBOROUGH,4281,TEMPLE TERRACE ELEMENTARY SCHOOL,426,800,NA,measle_turquoise,C,C,B,C,A,A,B,C,B,B,C,N,,,,NO,1,83,34,4,YES,N
"EGYPT LAKE ELEMENTARY SCHOOL 1775 NW 60TH ST, MIAMI, FL, 33142-2483",http://drew.dadeschools.net/                                                                        ,29,HILLSBOROUGH,1401,EGYPT LAKE ELEMENTARY SCHOOL,463,800,NA,measle_turquoise,C,B,A,A,A,B,A,B,B,A,B,B,A,C,C,NO,1,77,58,4,YES,N
"LUTZ PREPARATORY ACADEMY 17951 N US HIGHWAY 41, LUTZ, FL, 33549-4503",                                                                                                    ,29,HILLSBOROUGH,6655,LUTZ PREPARATORY ACADEMY,548,800,NA,measle_turquoise,C,B,A,C,B,A,A,A,B,A,C,C,B,A,C,NO,1,80,52,4,YES,N
"MARSHALL MIDDLE SCHOOL 18 S MARYLAND AVE, PLANT CITY, FL, 33563-6008",                                                                                                    ,29,HILLSBOROUGH,2841,MARSHALL MIDDLE SCHOOL,499,900,NA,measle_turquoise,C,B,D,C,A,C,C,B,B,B,C,C,D,D,D,NO,1,100,97,3,YES,N
"PIERCE MIDDLE SCHOOL 1817 E UNIVERSITY AVE, GAINESVILLE, FL, 32641-2629",http://www.sbac.edu/pages/ACPS                                                                      ,29,HILLSBOROUGH,82,PIERCE MIDDLE SCHOOL,511,900,NA,measle_turquoise,C,B,A,B,B,C,B,A,C,C,B,C,C,B,C,NO,1,89,77,4,YES,N
"RCMA LEADERSHIP ACADEMY 18236 S US HIGHWAY 301, WIMAUMA, FL, 33598-4307",                                                                                                    ,29,HILLSBOROUGH,6669,RCMA LEADERSHIP ACADEMY,469,800,NA,measle_turquoise,C,C,B,C,A,C,B,A,A,A,A,A,B,A,B,NO,1,64,34,4,NO,N
"RCMA WIMAUMA ACADEMY 18240 US HIGHWAY 301 S, WIMAUMA, FL, 33598-4307",                                                                                                    ,29,HILLSBOROUGH,6615,RCMA WIMAUMA ACADEMY,430,800,NA,measle_turquoise,C,C,C,A,A,A,A,A,A,A,B,C,D,D,D,NO,1,81,50,4,YES,N
"WALKER MIDDLE MAGNET SCHOOL 18480 SW 304TH ST, HOMESTEAD, FL, 33030-3915",http://redondoelem.dadeschools.net/                                                                 ,29,HILLSBOROUGH,4611,WALKER MIDDLE MAGNET SCHOOL,693,900,NA,measle_turquoise,C,B,A,B,A,A,A,A,A,A,A,B,C,B,C,NO,1,74,28,4,YES,N
"LEE ELEMENTARY MAGNET SCHOOL 18701 NW 1ST AVE, MIAMI, FL, 33169-4051",http://hibiscus.dadeschools.net/                                                                    ,29,HILLSBOROUGH,2401,LEE ELEMENTARY MAGNET SCHOOL,479,800,NA,measle_turquoise,C,B,B,A,A,A,A,A,A,A,A,B,A,A,C,NO,1,78,61,3,YES,N
"ARMWOOD HIGH SCHOOL 1900 MICHIGAN AVE, PANAMA CITY, FL, 32405-1532",                                                                                                    ,29,HILLSBOROUGH,131,ARMWOOD HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,B,A,,,,,,,,,,,,,YES,4,53,75,4,YES,N
"ALONSO HIGH SCHOOL 1900 NW 13TH ST, GAINESVILLE, FL, 32609-3411",http://www.sbac.edu/pages/ACPS                                                                      ,29,HILLSBOROUGH,151,ALONSO HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,B,C,C,B,A,B,B,B,B,A,A,A,A,C,NO,1,100,85,1,YES,N
"ANDERSON ELEMENTARY SCHOOL 1901 NE 9TH ST, GAINESVILLE, FL, 32609-3736",http://www.sbac.edu/pages/ACPS                                                                      ,29,HILLSBOROUGH,121,ANDERSON ELEMENTARY SCHOOL,543,800,NA,measle_turquoise,C,B,A,A,A,A,A,A,A,A,A,C,A,A,C,NO,1,75,39,4,NO,N
"MOUNT PLEASANT STANDARD BASE MIDDLE SCHOOL 1906 N ROME AVE, TAMPA, FL, 33607-4424",                                                                                                    ,29,HILLSBOROUGH,6621,MOUNT PLEASANT STANDARD BASE MIDDLE SCHOOL,,,,measle_turquoise,C,B,A,A,A,A,A,A,A,A,A,A,C,C,C,NO,2,59,25,4,NO,N
"RUSKIN ELEMENTARY SCHOOL 19200 MANATEE ISLES DR, WESTON, FL, 33332-2151",                                                                                                    ,29,HILLSBOROUGH,3841,RUSKIN ELEMENTARY SCHOOL,415,800,NA,measle_turquoise,C,B,A,A,A,B,C,B,B,C,B,C,C,D,C,NO,2,78,88,5,YES,N
"MENDENHALL ELEMENTARY SCHOOL 19595 TAFT ST, PEMBROKE PINES, FL, 33029-4620",                                                                                                    ,29,HILLSBOROUGH,2961,MENDENHALL ELEMENTARY SCHOOL,519,800,NA,measle_turquoise,C,B,A,A,A,A,A,,,,,,,,,NO,2,79,86,3,YES,N
"HILLSBOROUGH HIGH SCHOOL 200 N DOUGLAS RD, PEMBROKE PINES, FL, 33024-6416",                                                                                                    ,29,HILLSBOROUGH,1881,HILLSBOROUGH HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,B,C,A,B,A,A,A,B,C,B,C,C,C,C,NO,2,75,66,3,NO,N
"BAY CREST ELEMENTARY SCHOOL 2010 W 12TH ST, PANAMA CITY, FL, 32401-1850",                                                                                                    ,29,HILLSBOROUGH,191,BAY CREST ELEMENTARY SCHOOL,495,800,YES,measle_turquoise,C,B,C,C,A,B,A,A,A,A,A,A,A,A,C,NO,1,100,89,1,YES,N
"SLIGH MIDDLE SCHOOL 2011 E SLIGH AVE, TAMPA, FL, 33610-1253",                                                                                                    ,29,HILLSBOROUGH,1482,SLIGH MIDDLE SCHOOL,449,900,NA,measle_turquoise,C,B,B,A,A,A,B,B,C,C,D,N,,,D,YES,4,79,78,3,YES,N
"WHARTON HIGH SCHOOL 20150 BRUCE B DOWNS BLVD, TAMPA, FL, 33647-2482",                                                                                                    ,29,HILLSBOROUGH,4731,WHARTON HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,C,C,B,B,C,A,B,A,A,B,B,B,C,C,NO,1,62,32,4,NO,N
"LINCOLN ELEMENTARY MAGNET SCHOOL 20500 NE 24TH AVE, MIAMI, FL, 33180-1307",http://gratigny.dadeschools.net                                                                     ,29,HILLSBOROUGH,2441,LINCOLN ELEMENTARY MAGNET SCHOOL,495,800,YES,measle_turquoise,C,B,A,B,A,C,A,B,A,A,A,C,C,C,D,NO,1,91,90,3,YES,N
"LAKE MAGDALENE ELEMENTARY SCHOOL 20900 SW 97TH AVE, CUTLER BAY, FL, 33189-2354",http://gulfstreamelm.dadeschools.net/                                                               ,29,HILLSBOROUGH,2321,LAKE MAGDALENE ELEMENTARY SCHOOL,527,800,NA,measle_turquoise,C,C,C,C,C,B,C,A,B,B,B,C,C,C,C,NO,2,87,80,3,YES,N
"DICKENSON ELEMENTARY SCHOOL 2100 S FISKE BLVD, ROCKLEDGE, FL, 32955-3318",http://www.kennedy.brevard.k12.fl.us                                                                ,29,HILLSBOROUGH,1101,DICKENSON ELEMENTARY SCHOOL,513,800,NA,measle_turquoise,C,B,D,B,A,C,C,C,C,C,N,,,,,YES,1,59,53,2,YES,N
"GAITHER HIGH SCHOOL 2100 W 45TH ST, JACKSONVILLE, FL, 32209-3057",http://www.duvalschools.org/northweastern                                                           ,29,HILLSBOROUGH,1551,GAITHER HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,B,A,A,A,B,A,A,A,C,B,C,C,D,D,NO,1,95,74,3,YES,N
"LOPEZ ELEMENTARY SCHOOL 2101 N PINE ISLAND RD, SUNRISE, FL, 33322-3735",                                                                                                    ,29,HILLSBOROUGH,2531,LOPEZ ELEMENTARY SCHOOL,451,800,NA,measle_turquoise,C,C,C,B,C,B,C,A,B,C,B,B,C,C,C,NO,2,91,88,3,YES,N
"ESSRIG ELEMENTARY SCHOOL 2115 COMMONWEALTH AVE, JACKSONVILLE, FL, 32209-6919",http://www.duvalschools.org/wjes                                                                    ,29,HILLSBOROUGH,1431,ESSRIG ELEMENTARY SCHOOL,517,800,NA,measle_turquoise,C,B,A,A,A,A,A,B,A,A,A,C,B,C,,NO,1,75,49,4,YES,N
"CITRUS PARK ELEMENTARY SCHOOL 2121 NW 5TH ST, MIAMI, FL, 33125-3454",http://citrusgrovee.dadeschools.net/                                                                ,29,HILLSBOROUGH,801,CITRUS PARK ELEMENTARY SCHOOL,495,800,NA,measle_turquoise,C,C,B,B,B,B,B,A,C,B,B,B,N,,,NO,2,79,59,4,YES,N
"WEBB MIDDLE SCHOOL 2139 DEBORAH DRIVE, SPRINGHILL, FL, 34609",www.gulfcoastmiddle.org                                                                             ,29,HILLSBOROUGH,4442,WEBB MIDDLE SCHOOL,512,900,NA,measle_turquoise,C,B,A,A,A,B,C,C,B,B,A,C,B,A,C,NO,1,84,35,4,YES,N
"BENITO MIDDLE SCHOOL 21403 SE 69TH AVE, HAWTHORNE, FL, 32640-3944",http://www.sbac.edu/pages/ACPS                                                                      ,29,HILLSBOROUGH,201,BENITO MIDDLE SCHOOL,624,900,NA,measle_turquoise,C,B,A,A,A,A,A,A,A,A,A,A,A,A,B,NO,2,55,54,1,NO,N
"BLAKE HIGH SCHOOL-MAGNET 21633 SE 65TH AVE, HAWTHORNE, FL, 32640-3518",http://www.sbac.edu/pages/ACPS                                                                      ,29,HILLSBOROUGH,281,BLAKE HIGH SCHOOL-MAGNET,Pending,Pending,Pending,measle_turquoise,C,B,C,A,B,A,C,A,B,A,B,C,A,C,C,NO,1,100,97,1,YES,N
"MITCHELL ELEMENTARY SCHOOL 2175 N WICKHAM RD, MELBOURNE, FL, 32935-8109",                                                                                                    ,29,HILLSBOROUGH,3081,MITCHELL ELEMENTARY SCHOOL,651,800,NA,measle_turquoise,C,B,A,A,A,C,C,C,C,C,B,C,C,D,D,NO,1,87,89,3,YES,N
"FOREST HILLS ELEMENTARY SCHOOL 22450 HANCOCK AVE, PORT CHARLOTTE, FL, 33980-2173",                                                                                                    ,29,HILLSBOROUGH,42,FOREST HILLS ELEMENTARY SCHOOL,442,800,NA,measle_turquoise,C,B,B,B,A,B,C,A,B,B,B,C,B,C,C,NO,2,62,42,3,NO,N
"JENNINGS MIDDLE SCHOOL 2255 MEADOWLANE AVE, WEST MELBOURNE, FL, 32904-4955",http://www.wmelbourne.brevard.k12.fl.us                                                             ,29,HILLSBOROUGH,2042,JENNINGS MIDDLE SCHOOL,443,900,NA,measle_turquoise,C,C,B,B,B,C,B,C,B,A,C,C,C,C,C,NO,1,90,70,3,YES,N
"RIVERVIEW HIGH SCHOOL 2300 SW 173RD AVE, MIRAMAR, FL, 33029-5609",                                                                                                    ,29,HILLSBOROUGH,3371,RIVERVIEW HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,B,A,C,A,A,F,D,D,C,C,F,D,D,F,NO,1,95,98,5,YES,N
"TRINITY SCHOOL FOR CHILDREN - LOWER DIVISION 2402 W OSBORNE AVE, TAMPA, FL, 33603-1434",                                                                                                    ,29,HILLSBOROUGH,6612,TRINITY SCHOOL FOR CHILDREN - LOWER DIVISION,473,800,NA,measle_turquoise,C,B,B,B,A,C,B,B,B,B,A,C,C,C,C,NO,1,75,36,4,YES,N
"TRINITY UPPER SCHOOL 2402 W OSBORNE AVE, TAMPA, FL, 33603-1434",                                                                                                    ,29,HILLSBOROUGH,6624,TRINITY UPPER SCHOOL,645,900,NA,measle_turquoise,C,B,D,C,C,C,C,C,C,D,,,,,,NO,4,57,60,4,NO,N
"NEW SPRINGS SCHOOL 2410 E BUSCH BLVD, TAMPA, FL, 33612-8410",                                                                                                    ,29,HILLSBOROUGH,6654,NEW SPRINGS SCHOOL,567,900,NA,measle_turquoise,C,C,B,A,A,A,A,A,A,A,A,A,B,A,C,NO,1,80,61,4,YES,N
"NEW SPRINGS ELEMENTARY SCHOOL 2410 E BUSCH BLVD, TAMPA, FL, 33612-8410",                                                                                                    ,29,HILLSBOROUGH,6657,NEW SPRINGS ELEMENTARY SCHOOL,459,800,NA,measle_turquoise,C,B,B,C,B,B,B,A,B,B,A,B,C,A,C,NO,1,80,60,4,YES,N
"RIVERHILLS ELEMENTARY SCHOOL 24400 SW 124TH AVE, HOMESTEAD, FL, 33032-4202",http://coconutpalm.dadeschools.net                                                                  ,29,HILLSBOROUGH,3621,RIVERHILLS ELEMENTARY SCHOOL,404,800,NA,measle_turquoise,C,B,B,A,A,B,A,C,C,A,A,C,C,C,D,NO,1,89,82,5,YES,N
"VALRICO ELEMENTARY SCHOOL 24501 SW 162ND AVE, HOMESTEAD, FL, 33031-1311",http://redlandelem.dadeschools.net/                                                                 ,29,HILLSBOROUGH,4581,VALRICO ELEMENTARY SCHOOL,500,800,NA,measle_turquoise,C,B,A,C,A,A,A,A,A,A,A,A,C,C,C,NO,1,78,33,4,YES,N
"NELSON ELEMENTARY SCHOOL 250 WILDCAT ALY, MELBOURNE, FL, 32935-6405",http://www.westshore.brevard.k12.fl.us                                                              ,29,HILLSBOROUGH,3141,NELSON ELEMENTARY SCHOOL,482,800,NA,measle_turquoise,C,B,A,C,B,C,D,C,C,C,D,D,C,C,D,NO,1,86,91,3,YES,N
"MILES ELEMENTARY SCHOOL 2541 POST RD, MELBOURNE, FL, 32935-2315",http://www.sherwood.brevard.k12.fl.us                                                               ,29,HILLSBOROUGH,3041,MILES ELEMENTARY SCHOOL,450,800,NA,measle_turquoise,C,C,B,C,A,B,C,C,C,C,C,C,N,,,NO,1,90,92,3,YES,N
"NEWPOINT HIGH OF TAMPA 2584 E STATE ROAD 60, VALRICO, FL, 33594-3816",                                                                                                    ,29,HILLSBOROUGH,6647,NEWPOINT HIGH OF TAMPA,Pending,Pending,Pending,measle_turquoise,C,,,,,,,,,,,,,,,YES,4,32,29,4,NO,N
"SHIELDS MIDDLE SCHOOL 2586 COUNTY ROAD 731, LABELLE, FL, 33935-7764",                                                                                                    ,29,HILLSBOROUGH,55,SHIELDS MIDDLE SCHOOL,474,900,NA,measle_turquoise,C,B,A,B,A,B,A,A,A,A,A,B,C,A,B,YES,4,84,15,3,YES,N
"FISHHAWK CREEK ELEMENTARY SCHOOL 2586 COUNTY ROAD 731, LABELLE, FL, 33935-7764",                                                                                                    ,29,HILLSBOROUGH,59,FISHHAWK CREEK ELEMENTARY SCHOOL,593,800,NA,measle_turquoise,C,B,A,A,,,,,,,,,,,,YES,1,74,14,3,YES,N
"MANISCALCO ELEMENTARY SCHOOL 2600 SW 71ST TER, DAVIE, FL, 33314-1107",                                                                                                    ,29,HILLSBOROUGH,2771,MANISCALCO ELEMENTARY SCHOOL,551,800,NA,measle_turquoise,C,B,C,B,C,B,B,A,B,B,B,B,A,C,C,NO,2,87,90,3,YES,N
"CAMINITI EXCEPTIONAL CENTER 2600 W HUMPHREY ST, TAMPA, FL, 33614-1825",                                                                                                    ,29,HILLSBOROUGH,4562,CAMINITI EXCEPTIONAL CENTER,Pending,Pending,Pending,measle_turquoise,C,B,A,A,,,,,,,,,,,,NO,1,54,55,4,NO,N
"MORGAN WOODS ELEMENTARY SCHOOL 2601 FOUNTAINHEAD BLVD, MELBOURNE, FL, 32935-8724",http://www.allen.brevard.k12.fl.us                                                                  ,29,HILLSBOROUGH,3101,MORGAN WOODS ELEMENTARY SCHOOL,482,800,NA,measle_turquoise,C,C,C,C,B,D,C,B,C,B,C,D,D,C,D,NO,1,78,80,3,YES,N
"SCHWARZKOPF ELEMENTARY SCHOOL 2700 SPORTSPLEX DR, CORAL SPRINGS, FL, 33065-7508",                                                                                                    ,29,HILLSBOROUGH,3861,SCHWARZKOPF ELEMENTARY SCHOOL,600,800,NA,measle_turquoise,C,B,B,B,A,B,A,B,A,A,A,A,B,C,D,NO,1,94,96,5,YES,N
"WEST TAMPA ELEMENTARY SCHOOL 2700 W CHERRY ST, TAMPA, FL, 33607-3352",                                                                                                    ,29,HILLSBOROUGH,4722,WEST TAMPA ELEMENTARY SCHOOL,435,800,YES,measle_turquoise,C,C,B,A,A,A,C,C,B,A,C,C,C,C,C,NO,1,61,26,4,NO,N
"CLAYWELL ELEMENTARY SCHOOL 2751 N 70TH TER, HOLLYWOOD, FL, 33024-2853",                                                                                                    ,29,HILLSBOROUGH,861,CLAYWELL ELEMENTARY SCHOOL,516,800,NA,measle_turquoise,C,B,A,A,A,A,A,C,B,A,B,C,C,C,C,NO,1,85,10,2,YES,N
"WALDEN LAKE ELEMENTARY SCHOOL 2800 TURKEY CREEK RD, PLANT CITY, FL, 33566-0263",                                                                                                    ,29,HILLSBOROUGH,4591,WALDEN LAKE ELEMENTARY SCHOOL,519,800,NA,measle_turquoise,C,C,B,A,A,A,A,B,A,A,A,B,B,B,C,NO,1,65,35,4,NO,N
"JACKSON ELEMENTARY SCHOOL 2800 WINGATE BLVD, WEST MELBOURNE, FL, 32904-6630",http://www.meadowlane.brevard.k12.fl.us                                                             ,29,HILLSBOROUGH,2041,JACKSON ELEMENTARY SCHOOL,457,800,NA,measle_turquoise,C,B,A,A,A,A,A,B,A,A,A,A,C,C,C,NO,1,83,81,3,YES,N
"BURNETT MIDDLE SCHOOL 2861 SW 9TH ST, FORT LAUDERDALE, FL, 33312-2959",                                                                                                    ,29,HILLSBOROUGH,631,BURNETT MIDDLE SCHOOL,473,900,NA,measle_turquoise,C,C,B,C,B,A,B,A,B,A,A,A,B,A,C,NO,1,68,42,4,NO,N
"WILLIS PETERS EXCEPTIONAL CENTER 2919 NELSON AVE, DOVER, FL, 33527-5215",                                                                                                    ,29,HILLSBOROUGH,1202,WILLIS PETERS EXCEPTIONAL CENTER,Pending,Pending,Pending,measle_turquoise,C,B,A,B,A,A,A,A,A,B,A,B,C,C,D,NO,1,80,72,3,YES,N
"STEINBRENNER HIGH SCHOOL 2940 COLUMBIA BLVD, TITUSVILLE, FL, 32780-7801",                                                                                                    ,29,HILLSBOROUGH,89,STEINBRENNER HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,B,A,C,A,C,,,,,,,,,,NO,1,77,72,4,YES,N
"DOBY ELEMENTARY SCHOOL 3000 JOLLY ST, TITUSVILLE, FL, 32780-4926",                                                                                                    ,29,HILLSBOROUGH,72,DOBY ELEMENTARY SCHOOL,553,800,NA,measle_turquoise,C,C,C,C,A,B,B,C,D,D,C,C,C,A,C,NO,1,97,89,4,YES,N
"BOYETTE SPRINGS ELEMENTARY SCHOOL 301 NW 62ND ST, GAINESVILLE, FL, 32607-2003",http://www.sbac.edu/pages/ACPS                                                                      ,29,HILLSBOROUGH,311,BOYETTE SPRINGS ELEMENTARY SCHOOL,523,800,NA,measle_turquoise,C,C,B,C,B,B,B,B,B,C,A,C,A,A,C,NO,4,100,26,1,YES,N
"PIVOT CHARTER SCHOOL 3020 S FALKENBURG RD, RIVERVIEW, FL, 33578-2562",www.pivotcharterschool.com                                                                          ,29,HILLSBOROUGH,6656,PIVOT CHARTER SCHOOL,Pending,Pending,Pending,measle_turquoise,C,B,C,C,A,B,A,C,C,C,C,C,C,D,D,NO,1,97,90,4,YES,N
"KINGSWOOD ELEMENTARY SCHOOL 3060 SW 127TH AVE, MIAMI, FL, 33175-2622",http://greenglade.dadeschools.net/welcome.htm                                                       ,29,HILLSBOROUGH,2261,KINGSWOOD ELEMENTARY SCHOOL,466,800,NA,measle_turquoise,C,B,A,B,B,C,D,B,C,C,C,D,D,D,D,NO,1,100,93,3,YES,N
"HERITAGE ELEMENTARY SCHOOL 3081 NW 39TH ST, LAUDERDALE LAKES, FL, 33309-4318",                                                                                                    ,29,HILLSBOROUGH,1831,HERITAGE ELEMENTARY SCHOOL,495,800,YES,measle_turquoise,C,B,A,A,B,C,C,C,D,,,,,,,NO,1,91,98,3,YES,N
"CLEVELAND ELEMENTARY SCHOOL 3100 RIVERLAND RD, FORT LAUDERDALE, FL, 33312-4302",                                                                                                    ,29,HILLSBOROUGH,881,CLEVELAND ELEMENTARY SCHOOL,435,800,YES,measle_turquoise,C,B,A,D,C,C,D,B,C,C,B,D,C,A,F,NO,1,88,65,2,YES,N
"ALEXANDER ELEMENTARY SCHOOL 312 NW 16TH AVE, GAINESVILLE, FL, 32601-4205",http://www.sbac.edu/pages/ACPS                                                                      ,29,HILLSBOROUGH,81,ALEXANDER ELEMENTARY SCHOOL,532,800,NA,measle_turquoise,C,B,A,A,,,,,,,,,,,,NO,1,90,73,4,YES,N
"EDISON ELEMENTARY SCHOOL 314 NW 12TH ST, MIAMI, FL, 33136-2514",http://frederickdouglass.dadeschools.net/                                                           ,29,HILLSBOROUGH,1361,EDISON ELEMENTARY SCHOOL,454,800,NA,measle_turquoise,C,B,A,B,A,A,A,A,A,A,A,A,B,A,B,NO,1,73,38,1,YES,N
"ROOSEVELT ELEMENTARY SCHOOL 3205 S FERDINAND AVE, TAMPA, FL, 33629-8009",                                                                                                    ,29,HILLSBOROUGH,3801,ROOSEVELT ELEMENTARY SCHOOL,595,800,NA,measle_turquoise,C,C,D,F,B,C,C,D,C,D,C,F,D,D,F,NO,1,98,98,5,YES,N
"SPRINGHEAD ELEMENTARY SCHOOL 3208 NESMITH RD, PLANT CITY, FL, 33566-4656",                                                                                                    ,29,HILLSBOROUGH,4161,SPRINGHEAD ELEMENTARY SCHOOL,495,800,YES,measle_turquoise,C,B,B,A,A,A,B,B,B,C,,,,,,NO,2,86,91,5,YES,N
"APOLLO BEACH ELEMENTARY SCHOOL 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,29,HILLSBOROUGH,141,APOLLO BEACH ELEMENTARY SCHOOL,541,800,NA,measle_turquoise,C,B,A,,,,,,,,,,,,,YES,4,32,40,4,NO,N
"POTTER ELEMENTARY SCHOOL 3224 E CAYUGA ST, TAMPA, FL, 33610-6940",                                                                                                    ,29,HILLSBOROUGH,3521,POTTER ELEMENTARY SCHOOL,370,800,NA,measle_turquoise,C,B,A,C,A,B,A,A,A,A,B,C,C,C,C,NO,1,93,93,5,YES,N
"CARROLLWOOD ELEMENTARY SCHOOL 3333 NE 39TH AVE, GAINESVILLE, FL, 32609-2639",http://www.sbac.edu/pages/ACPS                                                                      ,29,HILLSBOROUGH,701,CARROLLWOOD ELEMENTARY SCHOOL,564,800,NA,measle_turquoise,C,B,A,C,B,A,A,B,A,A,B,B,C,A,B,NO,1,65,48,4,NO,N
"KIMBELL ELEMENTARY 3400 NW 135TH ST, OPA-LOCKA, FL, 33054-4708",                                                                                                    ,29,HILLSBOROUGH,120,KIMBELL ELEMENTARY,452,800,NA,measle_turquoise,C,B,A,C,B,A,A,A,A,A,A,A,C,A,B,NO,1,87,45,4,YES,N
"REDDICK ELEMENTARY SCHOOL 3400 NW 135TH STREET, OPA-LOCKA, FL, 33054-4708",                                                                                                    ,29,HILLSBOROUGH,110,REDDICK ELEMENTARY SCHOOL,472,800,NA,measle_turquoise,C,C,B,B,C,B,C,B,C,C,,,,,,NO,2,80,44,4,YES,N
"COLEMAN MIDDLE SCHOOL 3471 SW 22ND ST, FORT LAUDERDALE, FL, 33312-4315",                                                                                                    ,29,HILLSBOROUGH,921,COLEMAN MIDDLE SCHOOL,690,900,NA,measle_turquoise,C,B,C,C,A,A,C,C,C,C,C,D,D,C,C,NO,1,87,62,2,YES,N
"ADVANTAGE ACADEMY OF HILLSBOROUGH 350 W PROSSER DR, PLANT CITY, FL, 33563-6975",                                                                                                    ,29,HILLSBOROUGH,6644,ADVANTAGE ACADEMY OF HILLSBOROUGH,395,800,YES,measle_turquoise,C,B,A,B,A,B,B,A,C,C,B,C,C,A,C,NO,1,67,37,4,NO,N
"ADVANTAGE ACADEMY MIDDLE SCHOOL 350 W PROSSER DR, PLANT CITY, FL, 33563-6975",www.advantageacademyhillsborough.com                                                                ,29,HILLSBOROUGH,6645,ADVANTAGE ACADEMY MIDDLE SCHOOL,560,900,YES,measle_turquoise,C,B,A,A,A,A,A,A,B,A,A,C,C,A,D,NO,1,72,40,4,YES,N
"SCHMIDT ELEMENTARY SCHOOL 3501 DAVIE RD, DAVIE, FL, 33314-1604",                                                                                                    ,29,HILLSBOROUGH,3851,SCHMIDT ELEMENTARY SCHOOL,466,800,NA,measle_turquoise,C,C,C,B,A,A,A,C,B,B,A,B,A,C,C,NO,1,79,92,5,YES,N
"HILL MIDDLE SCHOOL 3551 NE 3RD AVE, POMPANO BEACH, FL, 33064-3658",                                                                                                    ,29,HILLSBOROUGH,1871,HILL MIDDLE SCHOOL,574,900,NA,measle_turquoise,C,B,B,A,B,C,A,B,B,B,B,C,D,D,D,NO,1,100,92,3,YES,N
"DUNBAR ELEMENTARY MAGNET SCHOOL 3600 COLLEGE AVE, DAVIE, FL, 33314-7723",                                                                                                    ,29,HILLSBOROUGH,1281,DUNBAR ELEMENTARY MAGNET SCHOOL,466,800,NA,measle_turquoise,C,B,B,C,B,A,A,B,A,A,A,A,C,C,C,NO,1,66,53,3,YES,N
"LOWRY ELEMENTARY SCHOOL 3601 NW 110TH AVE, CORAL SPRINGS, FL, 33065-2728",                                                                                                    ,29,HILLSBOROUGH,2551,LOWRY ELEMENTARY SCHOOL,530,800,NA,measle_turquoise,C,B,C,B,B,B,A,A,A,B,A,C,C,C,C,NO,1,82,73,3,YES,N
"LEWIS ELEMENTARY SCHOOL 3800 CROWN POINT RD, JACKSONVILLE, FL, 32257-6066",http://www.duvalschools.org/crownpoint                                                              ,29,HILLSBOROUGH,2451,LEWIS ELEMENTARY SCHOOL,495,800,YES,measle_turquoise,C,B,B,B,A,A,A,A,A,A,A,A,C,A,C,NO,1,60,55,3,NO,N
"ADAMS MIDDLE SCHOOL 3800 NW 6TH ST, GAINESVILLE, FL, 32609-2243",http://www.sbac.edu/pages/ACPS                                                                      ,29,HILLSBOROUGH,41,ADAMS MIDDLE SCHOOL,517,900,NA,measle_turquoise,C,C,B,A,A,A,B,A,B,C,B,B,C,C,C,NO,2,74,43,3,YES,N
"ROBLES ELEMENTARY SCHOOL 3925 N STATE ROAD 7, LAUDERDALE LAKES, FL, 33319-4831",                                                                                                    ,29,HILLSBOROUGH,3761,ROBLES ELEMENTARY SCHOOL,453,800,NA,measle_turquoise,C,D,D,C,C,C,A,B,C,C,C,C,C,C,D,NO,1,88,90,5,YES,N
"CORR ELEMENTARY SCHOOL 400 10TH ST SW, MOORE HAVEN, FL, 33471-0459",                                                                                                    ,29,HILLSBOROUGH,54,CORR ELEMENTARY SCHOOL,465,800,NA,measle_turquoise,C,B,A,B,B,A,B,A,B,B,B,B,A,C,B,NO,2,68,19,3,NO,N
